GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
17031030101,030101,301.01,3356,49.28,20.23,17.85,0.3,0.0,10.61,9.09,54.59,37.01,53.84,17.82,61.26,34.21,1.46,5.0,2456,41700.0,127283,0.026366,0.019296
17031030701,030701,307.01,1525,52.2,34.23,5.57,0.0,0.0,5.11,12.85,41.38,35.08,52.91,9.81,61.54,30.5,1.1,1.33,966,46226.0,69878,0.021824,0.013824
17031070103,070103,701.03,1449,74.05,8.7,6.14,0.0,0.0,8.7,6.28,57.42,84.27,66.64,1.66,88.42,9.97,0.0,3.83,1243,73362.0,69094,0.020971,0.01799
17031807100,807100,8071,3653,74.05,3.31,9.42,0.0,0.0,8.27,9.12,50.26,7.06,4.78,1.78,77.66,46.19,0.0,1.76,1263,58405.0,1528033,0.002391,0.000827
17031807200,807200,8072,5864,50.92,14.75,22.48,0.0,0.0,7.13,14.24,51.76,11.85,8.99,6.55,59.95,57.16,0.11,0.46,2014,45004.0,2489125,0.002356,0.000809
17031807300,807300,8073,8145,43.18,10.83,35.67,0.47,0.0,7.51,7.45,42.66,17.7,10.49,3.01,59.24,62.23,1.35,3.87,3187,41989.0,2037391,0.003998,0.001564
17031807400,807400,8074,6883,49.96,12.67,29.57,0.22,0.0,5.29,7.26,53.49,13.28,9.38,5.88,58.13,61.52,1.59,1.88,2429,39705.0,1396762,0.004928,0.001739
17031807500,807500,8075,3243,43.6,5.03,35.83,0.0,0.0,7.15,15.88,46.96,18.62,5.17,6.4,55.84,55.97,3.36,0.84,1083,50122.0,988887,0.003279,0.001095
17031807700,807700,8077,6298,50.59,10.27,25.13,0.6,0.0,6.97,13.83,54.84,16.8,11.4,6.12,50.1,63.45,0.0,0.71,2424,37546.0,1697095,0.003711,0.001428
17031807900,807900,8079,4295,59.14,5.77,27.66,0.16,0.0,5.24,7.47,50.66,11.83,2.07,4.13,66.69,62.18,0.0,0.0,1473,51997.0,2013730,0.002133,0.000731
17031808001,808001,8080.01,3634,61.59,1.07,29.94,0.61,0.0,5.5,11.59,48.32,10.54,1.97,8.33,63.52,55.59,0.0,0.65,1447,70713.0,2202703,0.00165,0.000657
17031808002,808002,8080.02,5250,68.91,1.92,22.93,0.0,0.0,5.5,4.76,53.71,7.9,10.94,5.74,59.41,64.84,0.0,0.0,2067,50155.0,2754904,0.001906,0.00075
17031808301,808301,8083.01,6102,49.0,1.69,34.89,0.44,0.0,10.7,10.31,46.92,8.16,11.96,5.02,57.48,54.61,0.35,4.51,2839,46362.0,3827249,0.001594,0.000742
17031808302,808302,8083.02,4487,49.65,2.21,37.89,0.0,0.0,8.76,3.01,53.0,15.07,6.31,7.03,59.9,70.12,0.0,0.56,1879,44078.0,1390532,0.003227,0.001351
17031808600,808600,8086,2385,80.25,2.1,11.19,0.0,0.34,6.12,6.58,49.85,14.59,2.09,1.9,77.85,57.32,0.08,1.87,926,98780.0,3812730,0.000626,0.000243
17031808702,808702,8087.02,5338,63.26,8.94,19.78,0.3,0.11,4.91,11.99,50.52,41.79,31.52,9.15,82.04,9.09,0.84,62.98,535,10767.0,940548,0.005675,0.000569
17031770202,770202,7702.02,4428,77.08,0.65,6.19,0.61,0.0,7.93,19.83,48.24,11.09,4.48,4.78,41.22,72.01,0.0,0.0,2142,46112.0,10961428,0.000404,0.000195
17031770602,770602,7706.02,4795,55.18,0.98,8.74,1.31,0.0,13.35,54.83,49.36,16.85,9.09,5.59,27.14,62.47,4.35,7.37,1584,30679.0,5390210,0.00089,0.000294
17031806104,806104,8061.04,4719,55.22,16.8,18.8,0.83,0.0,7.27,12.55,53.53,16.53,17.1,13.07,52.03,72.08,0.0,0.83,2130,26402.0,4653398,0.001014,0.000458
17031802506,802506,8025.06,2456,42.06,3.46,8.14,2.2,0.0,17.43,46.86,43.36,20.15,4.77,9.88,30.39,75.47,1.97,0.44,808,33941.0,3703831,0.000663,0.000218
