station_id,station_name,poi_tourism,poi_education,poi_medical,poi_shop,poi_leisure
24321,Oconto Ave & Belmont Ave,0,1,0,1,0
21320,MTV Hubbard St,1,0,0,4,0
1011,Public Rack - Fullerton Ave & Narragansett Ave,1,0,0,2,0
1012,Public Rack - Langley Ave & 49th St,1,1,1,3,0
1013,Public Rack - Pulaski Rd & Lake St,0,0,0,1,0
1014,Public Rack - Richmond St & Thorndale Ave,0,1,0,1,0
1015,Public Rack - Peterson Ave & Drake Ave,0,0,0,0,0
1016,Public Rack - Peterson Ave & Bernard Ave,0,0,0,0,0
1017,Public Rack - Foster Ave & Drake Ave,1,0,0,2,0
1018,Public Rack - Kostner Ave & Wrightwood Ave,0,0,0,7,0
1019,Public Rack - Kostner Ave & Diversey Ave,0,0,0,7,0
1020,Public Rack - Hamlin Ave & Madison St,2,0,0,6,0
1021,Public Rack - Pulaski Rd & Flournoy St,0,0,0,1,0
1022,Public Rack - Ewing Ave & 96th St S,0,0,0,0,0
1023,Public Rack - Brainerd Park,0,1,0,0,0
1024,Public Rack - May St & 87th St,0,1,0,1,0
1025,Public Rack - Sangamon St & 87th St,0,0,0,1,0
1027,Public Rack - Fairfield Ave & 63rd St,0,0,0,0,0
1028,Public Rack - Whipple St & 63rd St,0,2,1,4,0
1029,Public Rack - Maplewood Ave & 63rd St,0,0,0,0,0
1030,Public Rack - Lawndale & 63rd St,0,1,0,1,0
1031,Public Rack - Komensky Ave & 63rd St,1,1,0,1,0
1032,Public Rack - Kedvale Ave & 63rd St W,0,0,0,1,0
1033,Public Rack - Pulaski Rd & 65th St,0,0,0,3,0
1034,Public Rack - Kenneth Ave & 63rd St E,0,0,0,1,0
1035,Public Rack - Western Ave & 62nd St,0,0,0,0,0
1036,Public Rack - Kedzie Ave & 60th St,0,2,0,6,0
1037,Public Rack - Homan Ave & 62nd Pl,0,1,1,1,0
1038,Public Rack - Kedzie Ave & 62nd Pl,0,2,1,4,0
1039,Public Rack - Kedzie Ave & 61st Pl W,0,2,1,4,0
1040,Public Rack - Talman Ave & Pershing Rd,1,0,0,8,0
1041,Public Rack - Throop St & 48t ST,0,0,1,1,0
1042,Public Rack - Laflin St &51st ST,0,0,1,0,0
1043,Public Rack - Loomis Blvd & 47th St,0,0,1,7,0
1044,Public Rack - Western Blvd & 52nd St,0,0,0,2,0
1045,Public Rack - Hoyne Ave & 51st St,0,0,0,0,0
1046,Public Rack - Oakley Ave & 50th Pl,0,0,0,2,0
1047,Public Rack - Maplewood Ave & 47th St,1,1,1,2,0
1048,Public Rack - Western Ave & 47th Pl,0,0,0,9,0
1050,Public Rack - Kedzie Ave & 54th Pl,0,1,1,15,0
1052,Public Rack - Rockwell & Division,3,2,2,29,0
1053,Public Rack - Grand Ave & Lawndale Ave,0,2,0,1,0
1054,Public Rack - Division St & Christiana Ave,0,0,2,8,0
1055,Public Rack - Kedzie Ave & Chicago Ave,0,0,2,8,0
1056,Public Rack - Sawyer Ave & Chicago Ave,0,0,2,8,0
1057,Public Rack - Tripp Ave & North Ave,0,1,0,2,0
1058,Public Rack - Kildare Ave & North Ave,0,1,0,2,0
1059,Public Rack - Garfield Park Conservatory,20,0,0,1,0
1060,Public Rack - Homan Ave & Lake St,2,0,1,3,0
1061,Public Rack - Central Park Ave & Fulton Blvd,19,0,0,0,0
1062,Public Rack - Kedzie Ave & Walnut St,2,1,1,4,0
1063,Public Rack - Independence Blvd & Roosevelt,0,0,0,2,0
1064,Public Rack - Lawndale Ave & Roosevelt,1,1,1,2,0
1065,Public Rack - Homan Ave & Roosevelt,0,1,1,2,0
1066,Public Rack - St Louis Ave & Flournoy St,0,1,1,2,0
1067,Public Rack - Pulaski Rd & Grenshaw St,0,0,0,1,0
1068,Public Rack - Kedvale Ave & 26th St,1,1,0,2,0
1069,Public Rack - Komensky Ave & 26th St,1,1,0,2,0
1070,Public Rack - Lawndale Ave & 23rd St,1,0,6,6,0
1071,Public Rack - Ashland Ave & 74th St,0,0,0,2,0
1072,Public Rack - Washington Park Ct & 51st St,2,2,1,3,0
1073,Public Rack - Pulaski Rd & 85th St,0,0,0,0,0
1074,Public Rack - Pulaski Rd & 83rd St,0,0,0,0,0
1075,Public Rack - 83rd Pl & Kedzie Ave S,0,1,0,0,0
1076,Public Rack - 82nd st & Kedzie Ave,0,2,0,0,0
1077,Public Rack - 83rd Pl & Kedzie Ave N,0,1,0,0,0
1078,Public Rack - 85th Pl & Pulaski Rd,0,0,0,1,0
1079,Public Rack - Kedzie Ave & 83rd St,0,2,0,0,0
1080,Public Rack - Spaulding Ave & 71st St,0,0,0,0,0
1081,Public Rack - Rockwell Ave & 71st St,0,1,0,0,0
1083,Public Rack - 63rd St & Meade Ave,0,0,0,1,0
1084,Public Rack - Linder Ave & 64th Pl,0,1,0,2,0
1085,Public Rack - 63rd Pl & Narraganssett Ave,0,0,0,1,0
1086,Public Rack - 63rd St and Nagle Ave,0,0,0,1,0
1087,Public Rack - Sayre Ave & 59th St,0,0,0,1,0
1088,Public Rack - Natoma Ave & 61st St,0,0,0,1,0
1089,Public Rack - Normandy Ave & Archer Ave,0,1,0,1,0
1090,Public Rack - Minuteman Park,0,0,0,0,0
1091,Public Rack - Mulligan Ave & 56th St,3,2,0,0,0
1092,Public Rack - 56th St & Mulligan Ave,3,2,0,0,0
1093,Public Rack - 61st St & Melvina Ave,0,0,0,1,0
1094,Public Rack - Mason Ave & Archer Ave,0,0,0,3,0
1095,Public Rack - Mobile Ave & Archer Ave,3,2,0,1,0
1096,Public Rack - Austin Ave & Archer Ave,0,0,0,3,0
1097,Public Rack - Meade Ave & Archer Ave,0,0,0,3,0
1098,Public Rack - New England Ave & Irving Park Rd,0,0,0,0,0
1099,Public Rack - Leland Ave & Melvina Ave,0,0,0,1,0
1100,Public Rack - Melvina Ave & Montrose Ave,0,0,0,2,0
1101,Public Rack - Menard Ave & Leland Ave,0,0,0,7,0
1102,Public Rack - Central Ave & Pensacola Ave,0,0,0,2,0
1103,Public Rack - Irving Park Rd & Menard Ave,0,1,1,7,0
1104,Public Rack - Irving Park Rd & Austin Ave,0,1,1,7,0
1105,Public Rack - Irving Park Rd & Parkside Ave,0,3,2,2,0
1106,Public Rack - Irving Park Rd & Melvina Ave,0,1,1,6,0
1107,Public Rack - Milwaukee Ave & Warner Ave,2,0,7,36,0
1108,Public Rack - Cicero Ave & Belle Plaine Ave,2,0,7,45,0
1109,Public Rack - Milwaukee Ave & Sunnyside Ave,0,0,0,9,0
1110,Public Rack - Milwaukee Ave & Culyer Ave,2,0,7,42,0
1111,Public Rack - Lavergne Ave & Belle Plaine Ave,2,0,7,35,0
111111,w. Chicago Warehouse,0,1,0,0,0
1112,Public Rack - Milwaukee Ave & Pensacola Ave,0,0,0,6,0
1113,Public Rack - Irving Park Rd & Leclaire Ave,1,0,7,15,0
1114,Public Rack - Montrose Ave & Lavergne Ave,0,0,0,6,0
1115,Public Rack - Milwaukee Ave & Leland Ave,2,0,1,18,0
1116,Public Rack - Oak Park Ave & Foster Ave,0,0,1,10,0
1117,Public Rack - Nordica Ave & Higgins Ave,0,0,0,3,0
1118,Public Rack - Mont Clare Ave & Higgins Ave,0,0,0,5,0
1119,Public Rack - Central Ave & Lawrence Ave,0,0,0,5,0
1120,Public Rack - Milwaukee Ave & Catalpa Ave,1,0,1,10,0
1121,Public Rack - Milwaukee Ave & Higgins Ave,2,0,1,23,0
1122,Public Rack - Winona St & Elston Ave,0,0,0,7,0
1123,Public Rack - Milwaukee Ave & Lawrence Ave,2,0,1,24,0
1124,Public Rack - Lotus Ave & Lawrence Ave,2,0,1,23,0
1125,Public Rack - Milwaukee Ave & Kennedy Expy,2,0,1,14,0
1126,Public Rack - Milwaukee Ave & Kennedy Expy,1,0,1,10,0
1127,Public Rack - Karlov Ave & Lawrence Ave,0,0,0,7,0
1128,Public Rack - 4810 Keeler Ave,0,0,1,10,0
1129,Public Rack - Elston Ave & Kenneth Ave,0,0,1,5,0
1130,Public Rack - Elston Ave & Gunnison St,0,0,1,3,0
1131,Public Rack - Springfield Ave & Lawrence Ave,0,1,0,9,0
1132,Public Rack - Lawrence Ave & Kimball Ave,5,2,1,15,0
1133,Public Rack - Bernard St & Foster Ave,1,2,0,3,0
1134,Public Rack - Kimball Ave & Lawrence Ave,5,2,1,15,0
1135,Public Rack - Higgins Ave & Neva Ave,0,0,0,5,0
1136,Public Rack - William J Onahan Public School,0,0,0,1,0
1137,Public Rack - Nina Ave & Avondale Ave,0,1,0,7,0
1138,Public Rack - Normandy Ave & Raven St,0,0,0,1,0
1139,Public Rack - Northwest Hwy & Raven St,0,1,0,7,0
1140,Public Rack - Natoma Ave & Bryn Mawr Ave,1,0,0,1,0
1141,Public Rack - Holbrook St & Milwaukee Ave,0,0,0,0,0
1142,Public Rack - Haft Ave & Milwaukee Ave,3,0,0,3,0
