station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,6,6,4,5,4,3,2,3,4,5,5,4,5,5,4,4,3,3,3,4,2,4,7,7,3,7,4,5,3,2,1,1,,3,4,3,4
1012,,,,,,,,,,,,,,,,,,,6,,,,5,,,6,,,7,7,7,7,7,7,7,7,6,5,6,7,7,7,7,7,7,7,6,5,6,6,5,7,6,7,7
1013,,,,,,,,,,,,,,,,,,,3,3,4,3,4,,,,,4,5,,4,4,3,4,3,,,3,,,,5,5,5,7,6,4,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,5,,,,,,
1015,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,,,1,1,1,1,,,,,,,,3,3,3,3,3,3,,3,3,3,3,3,3,3
1016,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,1,1,1,,,,,,,,3,,,3,,,,3,,,,,,
1017,,,,,,,,,,,,,,,,,,,5,6,6,,,,,4,3,,5,6,5,5,5,6,2,4,,,5,,,8,7,,,,,,5,,,,8,9,
1018,,,,,,,,,,,,,,,,,,,,3,3,3,3,,3,,2,3,3,3,3,3,4,3,4,3,3,3,5,4,6,,7,7,7,,,5,,,5,,,6,7
1019,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,,3,3,3,3,4,3,4,3,3,3,5,4,6,4,7,7,7,6,6,5,,5,5,7,7,,7
1020,,,,,,,,,,,,,,,,,,,,8,8,,7,,,,,,8,7,,8,7,7,,,,,5,,9,8,7,8,,10,,,,,,,,9,
1021,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,2,,1,,,,,,,,,,,,,,3,3,,,,2,,,,,3
1022,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,,0,,,,,,,,,2,,,,,,,2,,,
1023,,,,,,,,,,,,,,,,,,,,6,4,4,5,3,,3,3,,,,4,,,,,,,4,,5,5,,6,,,6,,,,,,,5,,
1024,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,6,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,3,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,8,,10,8,6,7,,8,,10,10,9,9,,,,,,,,,4,,7,6,13,,,,,,,8,,
1028,,,,,,,,,,,,,,,,,,,,,,5,6,4,,6,,,7,5,6,6,10,7,5,,,6,5,,7,5,5,7,6,8,4,4,4,4,4,6,7,4,5
1029,,,,,,,,,,,,,,,,,,,,,8,,10,8,,,5,,11,,10,,9,,6,,2,4,5,,9,,5,7,,13,,,,,,,8,,
1030,,,,,,,,,,,,,,,,,,,,10,10,12,,,,6,7,,11,,,,12,,,,,6,,,10,,,,,,,,,,,11,,,
1031,,,,,,,,,,,,,,,,,,,,,8,7,6,4,5,,5,5,8,6,4,7,8,5,,2,,6,,5,7,5,,,,8,5,5,,3,,7,5,5,6
1032,,,,,,,,,,,,,,,,,,,,3,4,4,,,,,3,3,3,4,3,3,4,4,,,2,3,2,3,4,3,2,2,3,4,3,4,2,4,3,5,4,4,4
1033,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,1,1,1,1,1,1,1,1,,2,2,2,2,,3,,,3,3,3,4,2,3,,,3,3,,,3
1034,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,,3,3,4,,3,4,,,,,,,3,,,,2,3,4,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,6,,,,,,,6,,
1036,,,,,,,,,,,,,,,,,,,,6,8,,,,,,5,,,6,,6,7,5,,5,,5,5,,7,,,,,10,,,7,,,8,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,8,8,,7,9,7,6,3,,4,,,7,,,9,9,12,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,6,8,5,6,4,5,6,5,5,7,5,6,6,10,,,,,,,,7,5,,,,8,,,,,,,,,5
