station_id,station_name,GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
24321,Oconto Ave & Belmont Ave,17031170900,170900,1709,1922.0,44.64,3.43,0.78,0.57,0.0,33.19,57.02,52.34,24.97,10.03,15.29,31.04,72.68,0.0,1.01,669.0,26633.0,320579.0,0.005995,0.002087
21320,MTV Hubbard St,17031243000,243000,2430,2253.0,55.66,1.91,10.61,0.49,0.0,13.05,25.08,49.31,39.86,13.21,3.43,79.67,45.06,3.66,2.18,1166.0,69482.0,324547.0,0.006942,0.003593
1011,Public Rack - Fullerton Ave & Narragansett Ave,17031831500,831500,8315,3479.0,46.97,9.92,4.05,2.5,0.0,8.71,53.43,52.6,29.06,9.21,6.13,27.42,71.36,0.0,0.86,1540.0,36464.0,962686.0,0.003614,0.0016
1012,Public Rack - Langley Ave & 49th St,17031843600,843600,8436,3059.0,4.71,90.91,0.0,0.92,0.0,3.47,4.45,61.46,25.2,20.7,9.45,63.37,56.48,0.0,4.5,1636.0,38837.0,410895.0,0.007445,0.003982
1013,Public Rack - Pulaski Rd & Lake St,17031842100,842100,8421,6808.0,14.47,43.63,1.89,5.79,0.0,16.89,49.16,53.44,21.43,27.58,18.72,22.26,42.68,0.0,0.0,2225.0,24651.0,2034641.0,0.003346,0.001094
1014,Public Rack - Richmond St & Thorndale Ave,17031020701,020701,207.01,1669.0,54.4,7.25,18.51,0.72,0.0,11.38,15.04,55.54,12.52,4.14,6.56,67.28,65.29,0.0,2.6,835.0,53334.0,591396.0,0.002822,0.001412
1015,Public Rack - Peterson Ave & Drake Ave,17031130100,130100,1301,4765.0,66.95,2.83,25.88,0.0,0.0,1.15,4.03,59.08,11.79,22.05,5.38,59.29,75.82,1.36,1.6,1977.0,32364.0,1839635.0,0.00259,0.001075
1016,Public Rack - Peterson Ave & Bernard Ave,17031130100,130100,1301,4765.0,66.95,2.83,25.88,0.0,0.0,1.15,4.03,59.08,11.79,22.05,5.38,59.29,75.82,1.36,1.6,1977.0,32364.0,1839635.0,0.00259,0.001075
1017,Public Rack - Foster Ave & Drake Ave,17031831800,831800,8318,7545.0,44.44,7.24,34.59,0.28,0.0,10.21,18.74,54.45,19.66,15.26,3.57,52.74,50.09,0.35,4.4,2829.0,40647.0,1910736.0,0.003949,0.001481
1018,Public Rack - Kostner Ave & Wrightwood Ave,17031200200,200200,2002,4634.0,31.18,3.75,3.5,0.0,0.0,32.22,78.83,50.73,21.75,15.97,4.56,25.22,70.2,0.51,3.55,1780.0,29042.0,818684.0,0.00566,0.002174
