year,month,total_ebike_start,total_ebike_end,total_cbike_start,total_cbike_end,total_trips_start,total_trips_end
2021,1,24403,23037,61700,61414,86103,84451
2021,2,9293,8359,35012,34634,44305,42993
2021,3,45446,43949,152545,152163,197991,196112
2021,4,71841,70214,214619,214128,286460,284342
2021,5,125443,121756,309093,308330,434536,430086
2021,6,162766,157705,435020,433787,597786,591492
2021,7,170540,166010,506909,505544,677449,671554
2021,8,167796,163343,503033,501829,670829,665172
2021,9,165413,160472,462284,461077,627697,621549
2021,10,183993,178523,316139,315180,500132,493703
2021,11,123035,119596,154039,153630,277074,273226
2021,12,90914,88892,100635,100272,191549,189164
2022,1,31482,30203,55067,54697,86549,84900
2022,2,36254,34687,59414,59223,95668,93910
2022,3,93999,90371,134439,134292,228438,224663
2022,4,121534,117457,166712,166524,288246,283981
2022,5,197699,191966,324046,323601,521745,515567
2022,6,238960,232831,406660,406009,645620,638840
2022,7,307229,299262,373173,372676,680402,671938
2022,8,303522,295888,344050,343634,647572,639522
2022,9,271591,264917,306142,305749,577733,570666
2022,10,241156,236380,213560,213292,454716,449672
2022,11,135291,133224,144601,144458,279892,277682
2022,12,77248,75505,73350,73271,150598,148776
2023,1,71548,70560,90294,90219,161842,160779
2023,2,72825,71679,89820,89736,162645,161415
2023,3,112665,110320,107083,106976,219748,217296
2023,4,184151,179774,169738,169526,353889,349300
2023,5,232600,227284,269895,269468,502495,496752
2023,6,274839,267934,313546,313048,588385,580982
2023,7,264153,257987,362130,361464,626283,619451
2023,8,239856,234433,396961,396178,636817,630611
2023,9,217687,212552,347372,346528,565059,559080
2023,10,184355,180189,268346,267671,452701,447860
2023,11,131375,128940,176140,175679,307515,304619
2023,12,83779,81825,104584,104324,188363,186149
2024,1,49183,47915,76525,76209,125708,124124
2024,2,59432,58055,140314,139958,199746,198013
2024,3,108848,106372,148584,148175,257432,254547
2024,4,151829,148604,188403,187902,340232,336506
2024,5,193656,190785,306789,305977,500445,496762
2024,6,228984,226145,337712,336549,566696,562694
2024,7,241501,240354,370496,369384,611997,609738
2024,8,262059,261466,352989,351948,615048,613414
2024,9,240876,240542,314562,313787,555438,554329
2024,10,228524,226736,280610,280028,509134,506764
2024,11,130748,129588,148124,147843,278872,277431
2024,12,78653,77209,70528,70387,149181,147596
2025,1,66219,65067,49618,49549,115837,114616
2025,2,73196,71935,52756,52696,125952,124631
2025,3,131805,129411,111013,110760,242818,240171
2025,4,161513,159375,138632,138331,300145,297706
2025,5,213000,209483,186096,185537,399096,395020
2025,6,273885,269017,254115,253115,528000,522132
2025,7,324652,317654,265251,264272,589903,581926
