feature,mean_abs_shap_on_worst
pct_bachelors_plus,10.851275
month_7,7.4841194
poi_tourism,5.1774635
month_6,4.5876484
per_capita_income,4.14576
pct_drive_alone,4.044107
month_8,2.9660597
bus_stops_count,2.9218206
housing_density_sq_meter,2.4960766
poi_shop,2.4843488
n500,2.279615
street_length_m,2.149638
pct_young_adults_20_34,2.0628746
month_9,2.053651
pct_white,2.0255954
month_5,1.924063
pct_zero_car_ownership,1.7328103
n1250,1.6471242
n250,1.5968583
pct_walk_to_work,1.5035412
pct_two_or_more_races,1.4237924
n1500,1.2791017
n750,1.2223209
bike_route_length_m,1.1640991
pct_black,1.1603123
month_1,1.1379532
month_2,1.0687436
month_12,0.7171183
n1000,0.66919225
pct_asian,0.6128127
month_3,0.589554
population_density_sq_meter,0.55253416
pct_hispanic,0.5096153
month_10,0.4979898
pct_female,0.36005718
pct_bike_to_work,0.31364757
unemployment_rate,0.30310735
month_11,0.2973884
poi_education,0.23347172
poi_medical,0.22092396
pct_indian,0.11535027
rail_stops_count,0.10406941
month_4,0.07742553
pct_hawaiian,0.04920256
poi_leisure,0.0
