feature,mean_abs_shap_on_worst
pct_bachelors_plus,8.754562
month_7,6.9236927
per_capita_income,5.039739
poi_tourism,4.2459655
pct_drive_alone,3.693023
month_6,3.4521558
bus_stops_count,3.3462698
month_8,3.1560888
pct_walk_to_work,2.9795768
n500,2.3303566
housing_density_sq_meter,2.2410307
month_9,2.223722
pct_zero_car_ownership,2.2009628
poi_shop,2.1893961
pct_white,2.1853042
month_5,2.1523914
street_length_m,2.0041084
pct_young_adults_20_34,1.9877542
n250,1.4349214
n1250,1.2946833
bike_route_length_m,1.2334471
n1500,1.2182399
population_density_sq_meter,1.177811
month_1,1.1309623
n750,1.0862306
pct_hispanic,1.0143741
month_2,0.8723104
n1000,0.8362066
month_12,0.7169623
pct_black,0.6967523
pct_two_or_more_races,0.63950115
month_3,0.564965
pct_asian,0.4406507
poi_medical,0.37758
pct_bike_to_work,0.35733375
month_10,0.3566156
month_11,0.29267257
pct_female,0.27018473
poi_education,0.21330065
rail_stops_count,0.21315134
unemployment_rate,0.13451189
pct_indian,0.12891948
month_4,0.08100955
pct_hawaiian,0.045623273
poi_leisure,0.0
