station_name,station_ids,first_id
Noble St & Milwaukee Ave,"13290, CHI00457",13290
Damen Ave & Charleston St,"13288, CHI00403",13288
Hoyne Ave & Balmoral Ave,"655, CHI00773",655
Rush St & Cedar St,"CHI00537, KA1504000133",KA1504000133
900 W Harrison St,"13028, CHI01748",13028
Wells St & Concord Ln,"CHI00396, TA1308000050",TA1308000050
Stony Island Ave & 64th St,"CHI00557, KA1503000021",KA1503000021
Fort Dearborn Dr & 31st St,"CHI00222, TA1307000048",TA1307000048
Leavitt St & Division St,"658, CHI00787",658
Stockton Dr & Wrightwood Ave,"13276, CHI00522",13276
Calumet Ave & 18th St,"13102, CHI02039",13102
LaSalle St & Illinois St,"13430, CHI00358",13430
Halsted St & Archer Ave,"CHI00426, TA1308000013",TA1308000013
Wells St & Hubbard St,"CHI00332, TA1307000151",TA1307000151
Halsted St & North Branch St,"CHI00632, KA1504000117",KA1504000117
Milwaukee Ave & Rockwell St,"13242, CHI00289",13242
Broadway & Ridge Ave,"15578, CHI00337",15578
Desplaines St & Kinzie St,"CHI00517, TA1306000003",TA1306000003
Harding Ave & 26th St,"21332, 332.0, CHI01822",332.0
Orleans St & Chestnut St (NEXT Apts),"620, CHI01251",620
Wells St & Walton St,"CHI00260, TA1306000011",TA1306000011
Clinton St & 18th St,"CHI00235, TA1307000044",TA1307000044
Larrabee St & North Ave,"CHI00297, TA1306000008",TA1306000008
Damen Ave & Grand Ave,"CHI00417, TA1308000006",TA1308000006
Damen Ave & Madison St,"13134, CHI00317",13134
Western Ave & Winnebago Ave,"13068, CHI00282",13068
Budlong Woods Library,"15585, CHI00350",15585
Kostner Ave & Adams St,"545, CHI01336",545
Troy St & North Ave,"15653, CHI00641",15653
Ellis Ave & 83rd St,"584, CHI00725",584
Cicero Ave & Flournoy St,"16912, CHI00543",16912
Keystone Ave & Montrose Ave,"CHI00643, KA1504000164",KA1504000164
Racine Ave & Washington Blvd,"654, CHI00791",654
Financial Pl & Ida B Wells Dr,"CHI00781, SL-010",SL-010
Baltimore Ave & 87th St,"20229, CHI00860",20229
Southport Ave & Clybourn Ave,"CHI00466, TA1309000030",TA1309000030
Ashland Ave & Augusta Blvd,"13248, CHI02012",13248
Clarendon Ave & Gordon Ter,"13379, CHI00455",13379
Oakley Ave & Irving Park Rd,"CHI00369, KA1504000158",KA1504000158
Rhodes Ave & 32nd St,"13215, CHI00328",13215
