month,year,station_id,station_name,lat,lng,ebike_start,ebike_end,cbike_start,cbike_end,total_start,total_end,active_days,daily_ebike_start,daily_ebike_end,daily_cbike_start,daily_cbike_end,daily_start,daily_end
8,2022,KA1503000075,DuSable Museum,41.79156801058,-87.6078521774,52,53,84,83,136,136,30,1.73,1.77,2.8,2.77,4.53,4.53
8,2022,819,Robert Fulton Elementary School,41.8,-87.67,23,24,0,0,23,24,21,1.1,1.14,0.0,0.0,1.1,1.14
8,2022,13084,California Ave & Milwaukee Ave,41.922695,-87.697153,1013,1006,855,849,1868,1855,31,32.68,32.45,27.58,27.39,60.26,59.84
8,2022,15623,Campbell Ave & Montrose Ave,41.96154883333333,-87.6911825,223,226,231,248,454,474,31,7.19,7.29,7.45,8.0,14.65,15.29
8,2022,13256,California Ave & Division St,41.903029,-87.697474,365,363,304,359,669,722,31,11.77,11.71,9.81,11.58,21.58,23.29
8,2022,751,Kimbark Ave & 67th St,41.77,-87.59,30,34,0,0,30,34,26,1.15,1.31,0.0,0.0,1.15,1.31
8,2022,637,Wood St & Chicago Ave,41.895673333333335,-87.67207516666667,488,482,534,554,1022,1036,31,15.74,15.55,17.23,17.87,32.97,33.42
8,2022,20106,Chicago State University,41.71898733333333,-87.608471,26,28,19,16,45,44,23,1.13,1.22,0.83,0.7,1.96,1.91
8,2022,15634,Western Ave & Roscoe St,41.94306083333333,-87.68735366666667,286,276,242,249,528,525,31,9.23,8.9,7.81,8.03,17.03,16.94
8,2022,KA1504000106,Kedzie Ave & Lake St,41.93619666666667,-87.65366333333333,114,103,43,46,157,149,31,3.68,3.32,1.39,1.48,5.06,4.81
8,2022,361,Kenosha & Wellington,41.93,-87.73,90,76,0,0,90,76,29,3.1,2.62,0.0,0.0,3.1,2.62
8,2022,20222,Burnham Greenway & 105th St,41.70461216666666,-87.52839533333334,5,5,36,41,41,46,22,0.23,0.23,1.64,1.86,1.86,2.09
8,2022,550,Public Rack - Laramie Ave & Grand Ave,41.92,-87.76,9,11,0,0,9,11,13,0.69,0.85,0.0,0.0,0.69,0.85
8,2022,TA1306000002,Morgan Ave & 14th Pl,41.862371,-87.65116516666667,270,267,376,376,646,643,31,8.71,8.61,12.13,12.13,20.84,20.74
8,2022,329.0,Central Park Ave & Douglas Blvd,41.86,-87.72,21,16,0,0,21,16,21,1.0,0.76,0.0,0.0,1.0,0.76
8,2022,320,Orange & Addison,41.94,-87.82,22,22,0,0,22,22,22,1.0,1.0,0.0,0.0,1.0,1.0
8,2022,481,Public Rack - Chase Ave & Touhy Ave - NW,42.01,-87.69,3,3,0,0,3,3,5,0.6,0.6,0.0,0.0,0.6,0.6
8,2022,20109,Vernon Ave & 107th St,41.70012137923888,-87.61225998401642,8,6,13,14,21,20,16,0.5,0.38,0.81,0.88,1.31,1.25
8,2022,TA1309000067,Cottage Grove Ave & 51st St,41.803038,-87.606615,91,82,141,104,232,186,31,2.94,2.65,4.55,3.35,7.48,6.0
8,2022,20214,Avenue O & 134th St,41.65186780228521,-87.53967136144637,3,1,5,6,8,7,8,0.38,0.12,0.62,0.75,1.0,0.88
8,2022,336,La Villita Park (Albany/30th),41.84,-87.7,3,3,0,0,3,3,5,0.6,0.6,0.0,0.0,0.6,0.6
8,2022,691,Western Ave & 105th St,41.7,-87.68,5,7,0,0,5,7,6,0.83,1.17,0.0,0.0,0.83,1.17
8,2022,13341,Canal St & Madison St,41.88246033333333,-87.6397055,897,890,962,971,1859,1861,31,28.94,28.71,31.03,31.32,59.97,60.03
8,2022,13029,Field Museum,41.865312,-87.617867,590,489,608,561,1198,1050,31,19.03,15.77,19.61,18.1,38.65,33.87
8,2022,TA1309000006,Larrabee St & Armitage Ave,41.918084,-87.643749,459,445,736,727,1195,1172,31,14.81,14.35,23.74,23.45,38.55,37.81
8,2022,13017,Franklin St & Chicago Ave,41.896746973093805,-87.63566762208939,1021,972,1159,1014,2180,1986,31,32.94,31.35,37.39,32.71,70.32,64.06
8,2022,15576,Lakefront Trail & Bryn Mawr Ave,41.98396183333333,-87.65233866666667,865,853,1245,1310,2110,2163,32,27.03,26.66,38.91,40.94,65.94,67.59
8,2022,TA1305000006,Dearborn St & Monroe St,41.881319815,-87.6295209193,994,967,1189,1219,2183,2186,31,32.06,31.19,38.35,39.32,70.42,70.52
8,2022,15550,Canal St & Taylor St,41.87015152,-87.639466286,413,407,431,459,844,866,31,13.32,13.13,13.9,14.81,27.23,27.94
8,2022,13221,Wood St & Milwaukee Ave,41.907655,-87.672552,1035,1021,1042,1064,2077,2085,31,33.39,32.94,33.61,34.32,67.0,67.26
8,2022,15642,California Ave & Fletcher St,41.9384335,-87.69799933333333,246,256,223,304,469,560,31,7.94,8.26,7.19,9.81,15.13,18.06
8,2022,13034,Michigan Ave & Pearson St,41.89760716666667,-87.6233045,611,568,786,673,1397,1241,31,19.71,18.32,25.35,21.71,45.06,40.03
