year,month,active_stations
2021,1,643
2021,2,605
2021,3,677
2021,4,684
2021,5,686
2021,6,690
2021,7,711
2021,8,728
2021,9,758
2021,10,793
2021,11,820
2021,12,816
2022,1,777
2022,2,799
2022,3,844
2022,4,842
2022,5,1066
2022,6,1140
2022,7,1172
2022,8,1213
2022,9,1157
2022,10,1088
2022,11,1065
2022,12,1004
2023,1,977
2023,2,989
2023,3,1008
2023,4,1057
2023,5,1274
2023,6,1267
2023,7,1257
2023,8,1270
2023,9,1276
2023,10,1200
2023,11,1177
2023,12,1130
2024,1,1035
2024,2,1089
2024,3,1180
2024,4,1266
2024,5,1331
2024,6,1362
2024,7,1362
2024,8,1384
2024,9,1411
2024,10,1424
2024,11,1338
2024,12,1143
2025,1,1087
2025,2,1119
2025,3,1315
2025,4,1384
2025,5,1354
2025,6,1402
2025,7,1432
